name,year,bust,hip,waist,height,school,icon_url
Honoka_Kosaka,2,78,58,82,157,Otonokizaka, 
Umi_Sonoda,2,76,58,80,159,Otonokizaka, 
Rin_Hoshizora,1,75,59,80,155,Otonokizaka, 
Kotori_Minami,2,80,58,80,159,Otonokizaka, 
Maki_Nishikino,1,78,56,83,161,Otonokizaka, 
Hanayo_Koizumi,1,82,60,83,156,Otonokizaka, 
Nico_Yazawa,3,74,57,79,154,Otonokizaka, 
Eli_Ayase,3,88,60,84,162,Otonokizaka, 
Nozomi_Tojo,3,90,60,82,159,Otonokizaka, 
Chika_Takami,2,82,59,83,157,Uranohoshi, 
Riko_Sakurauchi,2,80,58,82,160,Uranohoshi, 
You_Watanabe,2,82,57,81,157,Uranohoshi, 
Ruby_Kurosawa,1,76,56,79,154,Uranohoshi, 
Yoshiko_Tsushima,1,79,58,80,156,Uranohoshi, 
Hanamaru_Kunikida,1,83,57,83,152,Uranohoshi, 
Dia_Kurosawa,3,80,57,80,162,Uranohoshi, 
Mari_Ohara,3,87,60,84,163,Uranohoshi, 
Kanan_Matsuura,3,83,58,84,162,Uranohoshi, 
Ayumu_Uehara,2,82,58,84,159,Nijigasaki, 
Setsuna_Yuki,2,83,56,81,154,Nijigasaki, 
Ai_Miyashita,2,84,53,86,163,Nijigasaki, 
Rina_Tennoji,1,71,52,75,149,Nijigasaki, 
Kasumi_Nakasu,1,76,55,79,155,Nijigasaki, 
Shizuku_Osaka,1,80,58,83,157,Nijigasaki, 
Karin_Asaka,3,88,57,89,167,Nijigasaki, 
Emma_Verde,3,92,61,88,166,Nijigasaki, 
Kanata_Konoe,3,85,60,86,158,Nijigasaki, 
