id,name,date,artists,lyricists,composers,arrangers,discs,events
32,Wonderful Rush,2012年9月5日,μ's,畑 亜貴,河田貴央,河田貴央,"{21, 166, 23}","[{'event': '107', 'concert': '145', 'performance': '227'}, {'event': '107', 'concert': '145', 'performance': '226'}, {'event': '101', 'concert': '140', 'performance': '221'}, {'event': '98', 'concert': '133', 'performance': '210'}, {'event': '98', 'concert': '130', 'performance': '200'}, {'event': '91', 'concert': '119', 'performance': '182'}, {'event': '91', 'concert': '119', 'performance': '181'}, {'event': '85', 'concert': '111', 'performance': '172'}, {'event': '85', 'concert': '111', 'performance': '171'}, {'event': '81', 'concert': '107', 'performance': '167'}, {'event': '78', 'concert': '104', 'performance': '164'}]"
35,after school NAVIGATORS,2012年10月17日,にこりんぱな,畑 亜貴,河田貴央,河田貴央,"{166, 22, 23}","[{'event': '98', 'concert': '138', 'performance': '219'}, {'event': '98', 'concert': '138', 'performance': '218'}, {'event': '98', 'concert': '131', 'performance': '204'}, {'event': '98', 'concert': '131', 'performance': '203'}, {'event': '78', 'concert': '104', 'performance': '164'}]"
33,"Oh,Love＆Peace!",2012年9月5日,μ's,畑 亜貴,黒須克彦,黒須克彦,"{21, 166, 23}","[{'event': '107', 'concert': '145', 'performance': '227'}, {'event': '107', 'concert': '145', 'performance': '226'}, {'event': '91', 'concert': '119', 'performance': '182'}, {'event': '91', 'concert': '119', 'performance': '181'}, {'event': '78', 'concert': '104', 'performance': '164'}]"
101,Angelic Angel,2015年7月1日,μ's,畑 亜貴,森慎太郎,倉内達矢,"{56, 166}","[{'event': '107', 'concert': '145', 'performance': '227'}, {'event': '107', 'concert': '145', 'performance': '226'}]"
62,タカラモノズ,2014年1月29日,μ's,畑 亜貴,高田 暁,高田 暁,"{34, 166, 55}","[{'event': '106', 'concert': '147', 'performance': '230'}, {'event': '106', 'concert': '147', 'performance': '229'}, {'event': '106', 'concert': '146', 'performance': '228'}, {'event': '98', 'concert': '132', 'performance': '206'}, {'event': '98', 'concert': '132', 'performance': '205'}, {'event': '98', 'concert': '130', 'performance': '202'}, {'event': '98', 'concert': '129', 'performance': '198'}, {'event': '98', 'concert': '129', 'performance': '197'}, {'event': '98', 'concert': '128', 'performance': '195'}, {'event': '92', 'concert': '120', 'performance': '187'}, {'event': '91', 'concert': '119', 'performance': '182'}, {'event': '91', 'concert': '119', 'performance': '181'}, {'event': '90', 'concert': '118', 'performance': '180'}, {'event': '88', 'concert': '116', 'performance': '178'}, {'event': '87', 'concert': '113', 'performance': '174'}]"
4,baby maybe 恋のボタン,2010年12月22日,μ's,畑 亜貴,山口朗彦,山口朗彦,"{2, 166, 23}","[{'event': '107', 'concert': '145', 'performance': '227'}, {'event': '107', 'concert': '145', 'performance': '226'}, {'event': '85', 'concert': '111', 'performance': '172'}, {'event': '85', 'concert': '111', 'performance': '171'}, {'event': '78', 'concert': '104', 'performance': '164'}, {'event': '74', 'concert': '100', 'performance': '160'}]"
34,Listen to my heart!!,2012年10月17日,にこりんぱな,畑 亜貴,河原嶺旭,河原嶺旭,"{166, 22, 23}","[{'event': '98', 'concert': '138', 'performance': '219'}, {'event': '98', 'concert': '138', 'performance': '218'}, {'event': '98', 'concert': '131', 'performance': '204'}, {'event': '98', 'concert': '131', 'performance': '203'}, {'event': '78', 'concert': '104', 'performance': '164'}]"
61,LOVELESS WORLD,2013年11月27日,μ's,畑 亜貴,山田高弘,河田貴央,"{33, 166, 55}","[{'event': '85', 'concert': '111', 'performance': '172'}, {'event': '85', 'concert': '111', 'performance': '171'}]"
36,僕らは今のなかで,2013年1月23日,μ's,畑 亜貴,森慎太郎,森慎太郎,"{24, 166, 55}","[{'event': '38', 'concert': '63', 'performance': '111'}, {'event': '38', 'concert': '63', 'performance': '110'}, {'event': '107', 'concert': '145', 'performance': '227'}, {'event': '107', 'concert': '145', 'performance': '226'}, {'event': '106', 'concert': '147', 'performance': '230'}, {'event': '106', 'concert': '147', 'performance': '229'}, {'event': '106', 'concert': '146', 'performance': '228'}, {'event': '103', 'concert': '142', 'performance': '223'}, {'event': '102', 'concert': '141', 'performance': '222'}, {'event': '101', 'concert': '140', 'performance': '221'}, {'event': '98', 'concert': '133', 'performance': '210'}, {'event': '98', 'concert': '133', 'performance': '209'}, {'event': '98', 'concert': '130', 'performance': '201'}, {'event': '98', 'concert': '129', 'performance': '198'}, {'event': '98', 'concert': '129', 'performance': '197'}, {'event': '98', 'concert': '128', 'performance': '196'}, {'event': '98', 'concert': '128', 'performance': '195'}, {'event': '98', 'concert': '128', 'performance': '194'}, {'event': '98', 'concert': '128', 'performance': '193'}, {'event': '92', 'concert': '122', 'performance': '190'}, {'event': '92', 'concert': '121', 'performance': '189'}, {'event': '92', 'concert': '121', 'performance': '188'}, {'event': '92', 'concert': '120', 'performance': '187'}, {'event': '91', 'concert': '119', 'performance': '182'}, {'event': '91', 'concert': '119', 'performance': '181'}, {'event': '90', 'concert': '118', 'performance': '180'}, {'event': '88', 'concert': '116', 'performance': '178'}, {'event': '88', 'concert': '114', 'performance': '176'}, {'event': '88', 'concert': '114', 'performance': '175'}, {'event': '87', 'concert': '113', 'performance': '174'}, {'event': '85', 'concert': '111', 'performance': '172'}, {'event': '85', 'concert': '111', 'performance': '171'}, {'event': '84', 'concert': '110', 'performance': '170'}, {'event': '83', 'concert': '109', 'performance': '169'}, {'event': '82', 'concert': '108', 'performance': '168'}, {'event': '81', 'concert': '107', 'performance': '167'}, {'event': '81', 'concert': '107', 'performance': '167'}, {'event': '80', 'concert': '106', 'performance': '166'}, {'event': '79', 'concert': '105', 'performance': '165'}]"
91,そして最後のページには,2014年12月25日,μ's,畑 亜貴,渡辺和紀,渡辺和紀,"{88, 166, 184}","[{'event': '91', 'concert': '119', 'performance': '182'}]"
