publishedAt,title,viewCount
2021-11-26T01:52:20Z,バンドリ！TV LIVE 2021 #94 & バンステ！2021 #21,28873
2021-11-25T14:30:04Z,ミニアニメ「BanG Dream! ガルパ☆ピコ ふぃーばー！」#08,45955
2021-11-24T09:00:13Z,Morfonicaトークイベント「モニ会へようこそ♪」座席表をデコレーションしていただきました！,8078
2021-11-24T08:00:14Z,バンドリ！ガールズバンドパーティ！presents モニカラジオ #84,5950
2021-11-22T08:56:56Z,Poppin'Party×Ayase『イントロダクション』アニメーションMV(フルサイズver.)【アーティストタイアップ楽曲】,19
2021-11-22T02:00:12Z,【期間限定】アニメ「BanG Dream! 3rd Season」#13【Anime Weekend】,28561
2021-11-22T02:00:11Z,"【期間限定】アニメ「BanG Dream! 3rd Season」#9,10【Anime Weekend】",9976
2021-11-22T02:00:08Z,"【期間限定】アニメ「BanG Dream! 3rd Season」#11,12【Anime Weekend】",11467
2021-11-22T02:00:07Z,"【期間限定】アニメ「BanG Dream! 3rd Season」#1,2【Anime Weekend】",17226
2021-11-22T02:00:03Z,"【期間限定】アニメ「BanG Dream! 3rd Season」#5,6【Anime Weekend】",12552
2021-11-22T02:00:03Z,"【期間限定】アニメ「BanG Dream! 3rd Season」#7,8【Anime Weekend】",12656
2021-11-22T02:00:03Z,"【期間限定】アニメ「BanG Dream! 3rd Season」#3,4【Anime Weekend】",10994
2021-11-19T09:00:16Z,【CM】Roselia単独ライブ「Edelstein」ライブ・ビューイング開催！,23869
2021-11-19T04:18:32Z,『Off we go.』Afterglow(難易度：EXPERT)【ガルパ プレイ動画】,24097
2021-11-19T02:48:23Z,誕生日記念ガチャ限定 八潮瑠唯 #Shorts,8828
2021-11-19T01:00:06Z,Morfonicaトークイベント「モニ会へようこそ♪」イベント内容の作戦会議の様子を公開！,7874
2021-11-17T08:00:12Z,バンドリ！ガールズバンドパーティ！presents モニカラジオ #83,8283
2021-11-14T03:00:02Z,【公式ライブ映像】Poppin'Party「Moonlight Walk」（BanG Dream! 9th☆LIVE「The Beginning」より）【期間限定】,305367
2021-11-13T10:00:17Z,Morfonica トークイベント「モニ会へようこそ♪」への意気込みをいただきました！,16930
2021-11-13T03:00:09Z,【公式ライブ映像】Roselia「Sing Alive」（BanG Dream! 9th☆LIVE「The Beginning」より）【期間限定】,416613
2021-11-12T09:00:20Z,【CM】劇場版「BanG Dream! Episode of Roselia Ⅱ : Song I am.」 Blu-ray 12/15(水)発売!!,44488
2021-11-11T09:00:30Z,【CM】劇場版「BanG Dream! Episode of Roselia Ⅰ : 約束」 Blu-ray 12/15(水)発売!!,33448
2021-11-10T09:30:26Z,【公式】灼Bonダンス #Shorts #RAISEASUILEN,46857
2021-11-10T08:00:13Z,バンドリ！ガールズバンドパーティ！presents モニカラジオ #82,8396
2021-11-09T03:04:17Z,『勇気Limit！』Poppin'Party(難易度：EXPERT)【ガルパ プレイ動画】,36328
2021-11-08T09:00:16Z,ガルパホロライブカップ特別生放送【バンドリ！ ガールズバンドパーティ！】※再アップロード版,38409
2021-11-06T10:00:02Z,Morfonicaトークイベント「モニ会へようこそ♪」タイトルロゴが完成！,18091
2021-11-03T08:00:15Z,バンドリ！ガールズバンドパーティ！presents モニカラジオ #81,10375
2021-11-03T03:13:55Z,誕生日記念ガチャ限定 大和麻弥 #Shorts,13177
2021-10-30T02:58:40Z,『パッパレ☆人生！バーン万歳！』Pastel＊Palettes(難易度：EXPERT)【ガルパ プレイ動画】,59426
2021-10-29T03:10:21Z,『ベノム』Afterglow(難易度：EXPERT)【ガルパ プレイ動画】,121676
2021-10-28T07:00:07Z,Morfonicaトークイベントのタイトルが決定！,17665
2021-10-27T08:00:13Z,バンドリ！ガールズバンドパーティ！presents モニカラジオ #80,9565
2021-10-27T03:08:22Z,誕生日記念ガチャ限定 市ヶ谷有咲 #Shorts,20716
2021-10-27T03:00:00Z,『Embrace of light』RAISE A SUILEN(難易度：EXPERT)【ガルパ プレイ動画】,42808
2021-10-26T03:25:54Z,誕生日記念ガチャ限定 湊友希那 #Shorts,19697
2021-10-25T09:00:20Z,【CM】バンドリ！ ガールズバンドパーティ！ カバーコレクションVol.6,58999
2021-10-23T03:06:28Z,誕生日記念ガチャ限定 上原ひまり #Shorts,17459
2021-10-23T03:00:09Z,ぽぴばん！#14「ポピパの夏休み」～BBQをしよう！～,45900
2021-10-21T02:57:41Z,『あの夢をなぞって』Poppin'Party×ときのそら(難易度：EXPERT)【ガルパ プレイ動画】,108707
2021-10-20T08:00:12Z,バンドリ！ガールズバンドパーティ！presents モニカラジオ #79,10543
2021-10-20T02:57:34Z,『ぼなぺてぃーと♡Ｓ』ハロー、ハッピーワールド！×白上フブキ(難易度：EXPERT)【ガルパ プレイ動画】,144600
2021-10-19T03:08:10Z,『ナカナ イナ カナイ』花園たえ×レイヤ(難易度：EXPERT)【ガルパ プレイ動画】,82380
2021-10-19T03:01:43Z,『ファンサ』Pastel＊Palettes×湊あくあ(難易度：EXPERT)【ガルパ プレイ動画】,154460
2021-10-18T12:00:08Z,Morfonica「fly with the night」楽曲MV(フルサイズver),112426
2021-10-17T02:50:56Z,誕生日記念ガチャ限定 白金燐子 #Shorts,27266
2021-10-16T11:00:12Z,「ROAD OF ROSES -Roselia ロードマップ発表スペシャル-」,108612
2021-10-15T04:39:49Z,【予告】特別番組「ROAD OF ROSES」10月16日(土)20:00～配信！,19133
2021-10-14T12:29:31Z,ガルパステーション【#5】「ガルパ×ホロライブ」コラボの詳細や、エクストラ楽曲の続報などガルパの最新情報をお届け！,126514
2021-10-14T12:23:20Z,キラフェス限定メンバー メモリアルアニメーション紹介動画【ガルパ】,134770
2021-10-14T12:18:14Z,Morfonica トークイベント開催決定！,16398
2021-10-14T12:13:01Z,劇場版「BanG Dream! ぽっぴん'どりーむ！」新CM,106003
2021-10-14T12:10:53Z,劇場版「BanG Dream! ぽっぴん'どりーむ！」ティザービジュアル第2弾公開！,31214
2021-10-14T11:44:45Z,ガルパ×ホロライブコラボ ビデオレター【ときのそら/湊あくあ/白上フブキ】,68534
2021-10-13T08:00:14Z,バンドリ！ガールズバンドパーティ！presents モニカラジオ #78,11034
2021-10-11T09:00:13Z,【Fateful.../Morfonica】TVアニメ「カードファイト!! ヴァンガード overDress」Season2 ノンクレジットED,44957
2021-10-09T03:02:32Z,『fly with the night』Morfonica(難易度：EXPERT)【ガルパ プレイ動画】,51804
2021-10-09T03:00:16Z,【居残りツアー】愛美さん＆大塚紗英さんからのコメント公開！,29056
2021-10-08T14:26:02Z,Morfonicaバンドストーリー2章10月10日開催！詳しくはコメント欄を見てね☆ #shorts,21435
2021-10-08T14:23:21Z,Morfonicaバンドストーリー2章10月10日開催！詳しくはコメント欄を見てね☆ #shorts,9323
2021-10-08T14:21:00Z,Morfonicaバンドストーリー2章10月10日開催！詳しくはコメント欄を見てね☆ #shorts,26785
2021-10-08T05:00:03Z,アコースティックライブ「香澄とたえの放課後居残りツアー」PV,45597
2021-10-07T12:41:12Z,Morfonicaバンドストーリー2章「fly with the night」第1話,9659
2021-10-07T12:41:05Z,Morfonica バンドストーリー2章予告MOVIE,54172
2021-10-07T12:40:32Z,Morfonica『fly with the night』MV Short ver.,76629
2021-10-06T08:00:12Z,バンドリ！ガールズバンドパーティ！presents モニカラジオ #77,12262
2021-10-06T03:00:20Z,【期間限定配信】ミニアニメ「BanG Dream! ガルパ☆ピコ ～大盛り～」 #23～26,89799
2021-10-05T03:00:07Z,【期間限定配信】ミニアニメ「BanG Dream! ガルパ☆ピコ ～大盛り～」 #19～22,85129
2021-10-04T03:00:30Z,【期間限定配信】ミニアニメ「BanG Dream! ガルパ☆ピコ ～大盛り～」 #16～18,57589
2021-10-03T03:00:02Z,【期間限定配信】ミニアニメ「BanG Dream! ガルパ☆ピコ ～大盛り～」 #13～15,49993
2021-10-02T03:00:17Z,【期間限定配信】ミニアニメ「BanG Dream! ガルパ☆ピコ ～大盛り～」 #10～12,76896
2021-10-01T06:20:37Z,バンドリ！TV LIVE 2021 #86 & バンステ！2021 #13,72135
2021-10-01T03:03:02Z,誕生日記念ガチャ限定 奥沢美咲 #Shorts,19678
2021-10-01T03:00:06Z,【期間限定配信】ミニアニメ「BanG Dream! ガルパ☆ピコ ～大盛り～」 #7～9,69923
2021-09-30T03:00:06Z,【期間限定配信】ミニアニメ「BanG Dream! ガルパ☆ピコ ～大盛り～」 #4～6,76262
2021-09-29T09:00:32Z,Poppin’Party「イニシャル」Chronicle movie,64503
2021-09-29T08:00:12Z,バンドリ！ガールズバンドパーティ！presents モニカラジオ #76,10473
2021-09-29T03:15:12Z,『きらっ☆と キミフェス！』ハロー、ハッピーワールド！(難易度：EXPERT)【ガルパ プレイ動画】,42007
2021-09-29T03:07:05Z,『TOMORROW』ハロー、ハッピーワールド！×Machico (難易度：EXPERT)【ガルパ プレイ動画】,59105
2021-09-29T03:00:04Z,【期間限定配信】ミニアニメ「BanG Dream! ガルパ☆ピコ ～大盛り～」 #1～3,66386
2021-09-28T03:00:12Z,【期間限定配信】ミニアニメ「BanG Dream! ガルパ☆ピコ」 #23～26,74948
2021-09-27T09:00:21Z,Roselia「Determination Symphony」Chronicle movie,148539
2021-09-27T03:00:22Z,【期間限定配信】ミニアニメ「BanG Dream! ガルパ☆ピコ」 #19～22,57166
2021-09-26T03:00:08Z,【期間限定配信】ミニアニメ「BanG Dream! ガルパ☆ピコ」 #16～18,69594
2021-09-25T06:03:14Z,『ゼッタイ宣言～Recital～』Pastel＊Palettes(難易度：SPECIAL)【ガルパ プレイ動画】,60820
2021-09-25T03:00:09Z,【期間限定配信】ミニアニメ「BanG Dream! ガルパ☆ピコ」 #13～15,55938
2021-09-24T10:00:18Z,【CM】Morfonica 3rd Single「ハーモニー・デイ」,18104
2021-09-24T06:02:53Z,『ロメオ』ハロー、ハッピーワールド！(難易度：SPECIAL)【ガルパ プレイ動画】,55170
2021-09-24T04:33:51Z,バンドリ！TV LIVE 2021 #85 & バンステ！2021 #12,59827
2021-09-24T03:00:01Z,【期間限定配信】ミニアニメ「BanG Dream! ガルパ☆ピコ」 #10～12,75778
2021-09-23T06:05:17Z,『This game』Roselia(難易度：SPECIAL)【ガルパ プレイ動画】,63913
2021-09-23T03:00:24Z,【期間限定配信】ミニアニメ「BanG Dream! ガルパ☆ピコ」 #07～09,62052
2021-09-22T09:00:23Z,Morfonica「ブルームブルーム」Chronicle movie,153865
2021-09-22T08:00:12Z,バンドリ！ガールズバンドパーティ！presents モニカラジオ #75,12757
2021-09-22T06:03:57Z,『R·I·O·T』RAISE A SUILEN(難易度：SPECIAL)【ガルパ プレイ動画】,48759
2021-09-22T03:09:18Z,『Life Will Change』Poppin'Party(難易度：SPECIAL)【ガルパ プレイ動画】,56063
