anime,type,character,anime_id,name,group
Ousama Game The Animation,Supporting,"Iwamura, Ria",36027,Pile,muse
KochinPa! Dainiki,Main,Aira,34503,Pile,muse
Love Live! x Watering KissMint Collaboration CM,Main,"Nishikino, Maki",32730,Pile,muse
KochinPa!,Main,Aira,32400,Pile,muse
Love Live! The School Idol Movie,Main,"Nishikino, Maki",24997,Pile,muse
World Trigger,Supporting,"Takeda, Kokoa",24405,Pile,muse
Love Live! School Idol Project: μ's →NEXT LoveLive! 2014 - Endless Parade Makuai Drama,Main,"Nishikino, Maki",25897,Pile,muse
Love Live! School Idol Project 2nd Season,Main,"Nishikino, Maki",19111,Pile,muse
Love Live! School Idol Project OVA,Main,"Nishikino, Maki",20745,Pile,muse
Music S.T.A.R.T!!,Main,"Nishikino, Maki",20877,Pile,muse
Love Live! School Idol Project,Main,"Nishikino, Maki",15051,Pile,muse
Wonderful Rush,Main,"Nishikino, Maki",14951,Pile,muse
"Mogyutto ""Love"" de Sekkinchuu!",Main,"Nishikino, Maki",12637,Pile,muse
"Natsu-iro Egao de 1, 2, Jump!",Main,"Nishikino, Maki",11033,Pile,muse
Snow Halation,Main,"Nishikino, Maki",9930,Pile,muse
Bokura no Live Kimi to no Life,Main,"Nishikino, Maki",9907,Pile,muse
Love Live! School Idol Project,Staff,,15051,Pile,muse
World Trigger,Staff,,24405,Pile,muse
Love Live! School Idol Project 2nd Season,Staff,,19111,Pile,muse
Ousama Game The Animation,Staff,,36027,Pile,muse
Dorei-ku The Animation,Staff,,36525,Pile,muse
Kyoukai no Rinne (TV) 2nd Season,Staff,,31610,Pile,muse
Snow Halation,Staff,,9930,Pile,muse
Bokura no Live Kimi to no Life,Staff,,9907,Pile,muse
Wonderful Rush,Staff,,14951,Pile,muse
"Natsu-iro Egao de 1, 2, Jump!",Staff,,11033,Pile,muse
"Mogyutto ""Love"" de Sekkinchuu!",Staff,,12637,Pile,muse
Music S.T.A.R.T!!,Staff,,20877,Pile,muse
Love Live! x Watering KissMint Collaboration CM,Staff,,32730,Pile,muse
Tenkai Knights,Staff,,23067,Pile,muse
Duel Masters VSRF,Staff,,32582,Pile,muse
Duel Masters VSR,Staff,,29687,Pile,muse
Puraore! Pride of Orange,Supporting,"Yoshiike, Ema",44274,"Tokui, Sora",muse
"Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita",Supporting,Nao,44037,"Tokui, Sora",muse
Tropical-Rouge! Precure,Supporting,"Sakuragawa, Saki",44191,"Tokui, Sora",muse
Gochuumon wa Usagi Desu ka? Bloom,Supporting,"Jouga, Maya",38337,"Tokui, Sora",muse
Princess Connect! Re:Dive,Supporting,Lima,39292,"Tokui, Sora",muse
Kiratto Pri☆chan Season 3,Main,"Kurokawa, Suzu",40880,"Tokui, Sora",muse
Murenase! Seton Gakuen,Supporting,"Nekomai, Kurumi",40483,"Tokui, Sora",muse
Assassins Pride,Supporting,"Madia, Black",38572,"Tokui, Sora",muse
"Watashi, Nouryoku wa Heikinchi de tte Itta yo ne!",Main,Reina,37393,"Tokui, Sora",muse
Gochuumon wa Usagi Desu ka??: Sing for You,Supporting,"Jouga, Maya",38333,"Tokui, Sora",muse
"Maou-sama, Retry!",Supporting,Yukikaze,38297,"Tokui, Sora",muse
Kiratto Pri☆chan Season 2,Main,"Kurokawa, Suzu",38804,"Tokui, Sora",muse
Choukadou Girl ⅙,Supporting,Kusabi,38226,"Tokui, Sora",muse
Senran Kagura Shinovi Master: Tokyo Youma-hen,Main,Hanabi,36037,"Tokui, Sora",muse
Zombieland Saga,Supporting,Shiori,37976,"Tokui, Sora",muse
High School DxD Hero,Supporting,Kunou,34281,"Tokui, Sora",muse
Saredo Tsumibito wa Ryuu to Odoru,Supporting,"Liwe Raqi, Berdrit",33889,"Tokui, Sora",muse
Alice or Alice,Supporting,Kisaki,36001,"Tokui, Sora",muse
Uma Musume: Pretty Derby (TV),Supporting,T.M. Opera O,35249,"Tokui, Sora",muse
Poputepipikku,Main,Popuko,35330,"Tokui, Sora",muse
Gochuumon wa Usagi Desu ka??: Dear My Sister,Supporting,"Jouga, Maya",33280,"Tokui, Sora",muse
