id,name,date,artists,lyricists,composers,arrangers,discs,events
1,僕らのLIVE 君とのLIFE,2010年8月25日,μ's,畑 亜貴,山田高弘,高田 暁,"{1, 166, 23}","[{'event': '38', 'concert': '63', 'performance': '111'}, {'event': '38', 'concert': '63', 'performance': '110'}, {'event': '107', 'concert': '145', 'performance': '227'}, {'event': '107', 'concert': '145', 'performance': '226'}, {'event': '106', 'concert': '147', 'performance': '230'}, {'event': '106', 'concert': '147', 'performance': '229'}, {'event': '106', 'concert': '146', 'performance': '228'}, {'event': '103', 'concert': '142', 'performance': '223'}, {'event': '98', 'concert': '137', 'performance': '217'}, {'event': '98', 'concert': '137', 'performance': '216'}, {'event': '98', 'concert': '133', 'performance': '209'}, {'event': '98', 'concert': '130', 'performance': '201'}, {'event': '98', 'concert': '129', 'performance': '197'}, {'event': '98', 'concert': '128', 'performance': '195'}, {'event': '98', 'concert': '128', 'performance': '194'}, {'event': '92', 'concert': '122', 'performance': '190'}, {'event': '92', 'concert': '121', 'performance': '189'}, {'event': '92', 'concert': '121', 'performance': '188'}, {'event': '92', 'concert': '120', 'performance': '187'}, {'event': '91', 'concert': '119', 'performance': '182'}, {'event': '88', 'concert': '114', 'performance': '176'}, {'event': '85', 'concert': '111', 'performance': '172'}, {'event': '85', 'concert': '111', 'performance': '171'}, {'event': '82', 'concert': '108', 'performance': '168'}, {'event': '81', 'concert': '107', 'performance': '167'}, {'event': '80', 'concert': '106', 'performance': '166'}, {'event': '78', 'concert': '104', 'performance': '164'}, {'event': '78', 'concert': '104', 'performance': '164'}, {'event': '77', 'concert': '103', 'performance': '163'}, {'event': '120', 'concert': '172', 'performance': '276'}, {'event': '75', 'concert': '101', 'performance': '161'}, {'event': '74', 'concert': '100', 'performance': '160'}, {'event': '74', 'concert': '100', 'performance': '160'}]"
2,友情ノーチェンジ,2010年8月25日,μ's,畑 亜貴,Tron-LM,Tron-LM,"{1, 166, 23}","[{'event': '107', 'concert': '145', 'performance': '227'}, {'event': '107', 'concert': '145', 'performance': '226'}, {'event': '85', 'concert': '111', 'performance': '172'}, {'event': '85', 'concert': '111', 'performance': '171'}, {'event': '78', 'concert': '104', 'performance': '164'}, {'event': '74', 'concert': '100', 'performance': '160'}]"
3,Snow halation,2010年12月22日,μ's,畑 亜貴,山田高弘,中西亮輔,"{2, 166, 23}","[{'event': '38', 'concert': '63', 'performance': '111'}, {'event': '38', 'concert': '63', 'performance': '110'}, {'event': '107', 'concert': '145', 'performance': '227'}, {'event': '107', 'concert': '145', 'performance': '226'}, {'event': '106', 'concert': '146', 'performance': '228'}, {'event': '103', 'concert': '142', 'performance': '223'}, {'event': '98', 'concert': '133', 'performance': '208'}, {'event': '98', 'concert': '133', 'performance': '207'}, {'event': '98', 'concert': '130', 'performance': '201'}, {'event': '98', 'concert': '128', 'performance': '194'}, {'event': '92', 'concert': '122', 'performance': '190'}, {'event': '92', 'concert': '121', 'performance': '189'}, {'event': '92', 'concert': '121', 'performance': '188'}, {'event': '92', 'concert': '120', 'performance': '187'}, {'event': '91', 'concert': '119', 'performance': '182'}, {'event': '91', 'concert': '119', 'performance': '181'}, {'event': '89', 'concert': '117', 'performance': '179'}, {'event': '85', 'concert': '111', 'performance': '172'}, {'event': '85', 'concert': '111', 'performance': '171'}, {'event': '84', 'concert': '110', 'performance': '170'}, {'event': '81', 'concert': '107', 'performance': '167'}, {'event': '80', 'concert': '106', 'performance': '166'}, {'event': '78', 'concert': '104', 'performance': '164'}, {'event': '77', 'concert': '103', 'performance': '163'}, {'event': '74', 'concert': '100', 'performance': '160'}]"
4,baby maybe 恋のボタン,2010年12月22日,μ's,畑 亜貴,山口朗彦,山口朗彦,"{2, 166, 23}","[{'event': '107', 'concert': '145', 'performance': '227'}, {'event': '107', 'concert': '145', 'performance': '226'}, {'event': '85', 'concert': '111', 'performance': '172'}, {'event': '85', 'concert': '111', 'performance': '171'}, {'event': '78', 'concert': '104', 'performance': '164'}, {'event': '74', 'concert': '100', 'performance': '160'}]"
5,Love marginal,2011年5月25日,Printemps,畑 亜貴,藤末 樹,松坂康司、藤末 樹,"{3, 166, 23}","[{'event': '98', 'concert': '134', 'performance': '212'}, {'event': '98', 'concert': '134', 'performance': '211'}, {'event': '78', 'concert': '104', 'performance': '164'}, {'event': '74', 'concert': '100', 'performance': '160'}]"
6,sweet&sweet holiday,2011年5月25日,Printemps,畑 亜貴,山口朗彦,藤末 樹,"{3, 166, 23}","[{'event': '107', 'concert': '145', 'performance': '227'}, {'event': '107', 'concert': '145', 'performance': '226'}, {'event': '98', 'concert': '134', 'performance': '212'}, {'event': '98', 'concert': '134', 'performance': '211'}, {'event': '88', 'concert': '115', 'performance': '177'}, {'event': '78', 'concert': '104', 'performance': '164'}, {'event': '74', 'concert': '100', 'performance': '160'}]"
7,ダイヤモンドプリンセスの憂鬱,2011年6月22日,BiBi,畑 亜貴,吉田勝弥,高田 暁,"{4, 166, 23}","[{'event': '78', 'concert': '104', 'performance': '164'}, {'event': '74', 'concert': '100', 'performance': '160'}]"
8,ラブノベルス,2011年6月22日,BiBi,畑 亜貴,佐々倉有吾,佐々倉有吾,"{4, 166, 23}","[{'event': '78', 'concert': '104', 'performance': '164'}, {'event': '74', 'concert': '100', 'performance': '160'}]"
9,知らないLove*教えてLove,2011年7月27日,lily white,畑 亜貴,星 和生,福富雅之,"{5, 166, 23}","[{'event': '78', 'concert': '104', 'performance': '164'}, {'event': '74', 'concert': '100', 'performance': '160'}]"
10,あ・の・ね・が・ん・ば・れ！,2011年7月27日,lily white,畑 亜貴,青木多果,青木多果,"{5, 166, 23}","[{'event': '78', 'concert': '104', 'performance': '164'}, {'event': '74', 'concert': '100', 'performance': '160'}]"
11,"夏色えがおで1,2,Jump!",2011年8月24日,μ's,畑 亜貴,奥松 誠,高田 暁,"{166, 6, 23}","[{'event': '107', 'concert': '145', 'performance': '227'}, {'event': '107', 'concert': '145', 'performance': '226'}, {'event': '98', 'concert': '133', 'performance': '208'}, {'event': '98', 'concert': '130', 'performance': '200'}, {'event': '91', 'concert': '119', 'performance': '182'}, {'event': '88', 'concert': '116', 'performance': '178'}, {'event': '85', 'concert': '111', 'performance': '172'}, {'event': '85', 'concert': '111', 'performance': '171'}, {'event': '82', 'concert': '108', 'performance': '168'}, {'event': '81', 'concert': '107', 'performance': '167'}, {'event': '78', 'concert': '104', 'performance': '164'}, {'event': '77', 'concert': '103', 'performance': '163'}, {'event': '76', 'concert': '102', 'performance': '162'}, {'event': '74', 'concert': '100', 'performance': '160'}]"
12,Mermaid festa vol.1,2011年8月24日,μ's,畑 亜貴,俊龍,渡辺和紀,"{166, 6, 23}","[{'event': '85', 'concert': '111', 'performance': '172'}, {'event': '78', 'concert': '104', 'performance': '164'}, {'event': '74', 'concert': '100', 'performance': '160'}]"
13,私たちは未来の花,2011年11月23日,園田海未,畑 亜貴,三浦誠司,三浦誠司,"{166, 7}","[{'event': '98', 'concert': '137', 'performance': '217'}, {'event': '98', 'concert': '137', 'performance': '216'}, {'event': '86', 'concert': '112', 'performance': '173'}, {'event': '81', 'concert': '107', 'performance': '167'}, {'event': '74', 'concert': '100', 'performance': '160'}]"
14,スピカテリブル,2011年12月14日,南ことり,畑 亜貴,藤末 樹,藤末 樹,"{8, 166}","[{'event': '74', 'concert': '100', 'performance': '160'}]"
15,愛は太陽じゃない？,2012年1月25日,高坂穂乃果,畑 亜貴,佐々倉有吾,佐々倉有吾,"{9, 166}","[{'event': '98', 'concert': '132', 'performance': '206'}, {'event': '98', 'concert': '132', 'performance': '205'}]"
16,もうひとりじゃないよ,2012年1月25日,高坂穂乃果,畑 亜貴,佐伯高志,佐伯高志,"{9, 166}","[{'event': '98', 'concert': '138', 'performance': '219'}, {'event': '98', 'concert': '138', 'performance': '218'}, {'event': '74', 'concert': '100', 'performance': '160'}]"
17,もぎゅっと“love”で接近中！,2012年2月15日,μ's,畑 亜貴,増田達行,A-bee,"{10, 166, 23}","[{'event': '107', 'concert': '145', 'performance': '227'}, {'event': '107', 'concert': '145', 'performance': '226'}, {'event': '98', 'concert': '136', 'performance': '215'}, {'event': '98', 'concert': '136', 'performance': '214'}, {'event': '98', 'concert': '133', 'performance': '207'}, {'event': '98', 'concert': '130', 'performance': '202'}, {'event': '91', 'concert': '119', 'performance': '182'}, {'event': '91', 'concert': '119', 'performance': '181'}, {'event': '85', 'concert': '111', 'performance': '172'}, {'event': '85', 'concert': '111', 'performance': '171'}, {'event': '81', 'concert': '107', 'performance': '167'}, {'event': '78', 'concert': '104', 'performance': '164'}, {'event': '77', 'concert': '103', 'performance': '163'}, {'event': '75', 'concert': '101', 'performance': '161'}, {'event': '74', 'concert': '100', 'performance': '160'}]"
18,愛してるばんざーい！,2012年2月15日,μ's,畑 亜貴,山田高弘,清水哲平,"{10, 166, 23}","[{'event': '106', 'concert': '147', 'performance': '230'}, {'event': '106', 'concert': '147', 'performance': '229'}, {'event': '91', 'concert': '119', 'performance': '182'}, {'event': '78', 'concert': '104', 'performance': '164'}, {'event': '74', 'concert': '100', 'performance': '160'}]"
19,Mermaid festa vol.2 ～Passionate～,2012年4月25日,高坂穂乃果、星空 凛,畑 亜貴,山崎真吾,松井 望,"{17, 166, 23}","[{'event': '98', 'concert': '138', 'performance': '219'}, {'event': '98', 'concert': '138', 'performance': '218'}, {'event': '78', 'concert': '104', 'performance': '164'}, {'event': '120', 'concert': '172', 'performance': '276'}]"
20,Someday of my life,2012年4月25日,高坂穂乃果,畑 亜貴,八重樫ゆう一,八重樫ゆう一,"{17, 166, 23}","[{'event': '98', 'concert': '137', 'performance': '217'}, {'event': '98', 'concert': '137', 'performance': '216'}, {'event': '78', 'concert': '104', 'performance': '164'}]"
21,恋のシグナルRin rin rin!,2012年4月25日,星空 凛,畑 亜貴,須田真吾,安藤高弘,"{17, 166, 23}","[{'event': '81', 'concert': '107', 'performance': '167'}, {'event': '78', 'concert': '104', 'performance': '164'}]"
22,乙女式れんあい塾,2012年5月23日,東條 希、矢澤にこ,畑 亜貴,佐々木裕,佐々木裕,"{18, 166, 23}","[{'event': '78', 'concert': '104', 'performance': '164'}, {'event': '120', 'concert': '172', 'performance': '276'}]"
23,まほうつかいはじめました！,2012年5月23日,矢澤にこ,畑 亜貴,鈴木裕明,鈴木裕明,"{18, 166, 23}","[{'event': '81', 'concert': '107', 'performance': '167'}, {'event': '78', 'concert': '104', 'performance': '164'}]"
24,純愛レンズ,2012年5月23日,東條 希,畑 亜貴,山元祐介,山元祐介,"{18, 166, 23}","[{'event': '98', 'concert': '132', 'performance': '206'}, {'event': '98', 'concert': '132', 'performance': '205'}, {'event': '86', 'concert': '112', 'performance': '173'}, {'event': '81', 'concert': '107', 'performance': '167'}, {'event': '78', 'concert': '104', 'performance': '164'}]"
25,告白日和、です！,2012年6月27日,南ことり、小泉花陽,畑 亜貴,若林 充,若林 充,"{19, 166, 23}","[{'event': '78', 'concert': '104', 'performance': '164'}, {'event': '120', 'concert': '172', 'performance': '276'}]"
26,ぶる～べりぃ♡とれいん,2012年6月27日,南ことり,畑 亜貴,増田達行,三浦誠司,"{19, 166, 23}","[{'event': '98', 'concert': '137', 'performance': '217'}, {'event': '98', 'concert': '137', 'performance': '216'}, {'event': '86', 'concert': '112', 'performance': '173'}, {'event': '81', 'concert': '107', 'performance': '167'}, {'event': '78', 'concert': '104', 'performance': '164'}]"
27,孤独なHeaven,2012年6月27日,小泉花陽,畑 亜貴,前口 渉,増田武史,"{19, 166, 23}","[{'event': '78', 'concert': '104', 'performance': '164'}]"
28,soldier game,2012年7月25日,西木野真姫、園田海未、絢瀬絵里,畑 亜貴,若林 充,若林 充,"{20, 166, 23}","[{'event': '78', 'concert': '104', 'performance': '164'}, {'event': '120', 'concert': '172', 'performance': '276'}]"
29,Daring!!,2012年7月25日,西木野真姫,畑 亜貴,近藤圭一,近藤圭一,"{20, 166, 23}","[{'event': '86', 'concert': '112', 'performance': '173'}, {'event': '81', 'concert': '107', 'performance': '167'}, {'event': '78', 'concert': '104', 'performance': '164'}]"
30,勇気のReason,2012年7月25日,園田海未,畑 亜貴,増谷 賢,増谷 賢,"{20, 166, 23}","[{'event': '78', 'concert': '104', 'performance': '164'}]"
31,ありふれた悲しみの果て,2012年7月25日,絢瀬絵里,畑 亜貴,佐伯高志,佐伯高志,"{20, 166, 23}","[{'event': '98', 'concert': '132', 'performance': '206'}, {'event': '98', 'concert': '132', 'performance': '205'}, {'event': '81', 'concert': '107', 'performance': '167'}]"
32,Wonderful Rush,2012年9月5日,μ's,畑 亜貴,河田貴央,河田貴央,"{21, 166, 23}","[{'event': '107', 'concert': '145', 'performance': '227'}, {'event': '107', 'concert': '145', 'performance': '226'}, {'event': '101', 'concert': '140', 'performance': '221'}, {'event': '98', 'concert': '133', 'performance': '210'}, {'event': '98', 'concert': '130', 'performance': '200'}, {'event': '91', 'concert': '119', 'performance': '182'}, {'event': '91', 'concert': '119', 'performance': '181'}, {'event': '85', 'concert': '111', 'performance': '172'}, {'event': '85', 'concert': '111', 'performance': '171'}, {'event': '81', 'concert': '107', 'performance': '167'}, {'event': '78', 'concert': '104', 'performance': '164'}]"
33,"Oh,Love＆Peace!",2012年9月5日,μ's,畑 亜貴,黒須克彦,黒須克彦,"{21, 166, 23}","[{'event': '107', 'concert': '145', 'performance': '227'}, {'event': '107', 'concert': '145', 'performance': '226'}, {'event': '91', 'concert': '119', 'performance': '182'}, {'event': '91', 'concert': '119', 'performance': '181'}, {'event': '78', 'concert': '104', 'performance': '164'}]"
34,Listen to my heart!!,2012年10月17日,にこりんぱな,畑 亜貴,河原嶺旭,河原嶺旭,"{166, 22, 23}","[{'event': '98', 'concert': '138', 'performance': '219'}, {'event': '98', 'concert': '138', 'performance': '218'}, {'event': '98', 'concert': '131', 'performance': '204'}, {'event': '98', 'concert': '131', 'performance': '203'}, {'event': '78', 'concert': '104', 'performance': '164'}]"
35,after school NAVIGATORS,2012年10月17日,にこりんぱな,畑 亜貴,河田貴央,河田貴央,"{166, 22, 23}","[{'event': '98', 'concert': '138', 'performance': '219'}, {'event': '98', 'concert': '138', 'performance': '218'}, {'event': '98', 'concert': '131', 'performance': '204'}, {'event': '98', 'concert': '131', 'performance': '203'}, {'event': '78', 'concert': '104', 'performance': '164'}]"
